epoch,acc,loss
0,0.10000000000000001,4.340639715194702
1,0.14000000000000001,138799.85999999999
2,0.080000000000000002,138779.71312500001
3,0.12,138757.08249999999
4,0.12,138735.66875000001
5,0.10000000000000001,138712.046875
6,0.080000000000000002,138690.0975
7,0.12,138668.00312499999
8,0.14000000000000001,138645.918125
9,0.12,138622.88
